geonameid;name;latitude;longitude;population;countrycode
727030;Бельско-Бяла,Бельско-Бяло;49.82245;19.04686;176515;PL
729794;Томакомай;42.63694;141.60333;174806;JP
732491;Краматорск,Краматорськ;48.72305;37.55629;173700;UA
735640;Ольштын;53.77995;20.49416;171803;PL
737054;Мюльхайм-на-Руре;51.43333;6.88333;171000;DE
739236;Baranovichi - Баранавiчы,БАРАНОВИЧИ,Баранавічы,Барановичи;53.1327;26.0139;168772;BY
742902;Фулин;29.706;107.39575;166507;CN
743051;Дашогуз;41.83625;59.96662;166500;TM
743166;Фатехпур;25.93036;80.8139;166480;IN
743404;Горад Оснабрук,Оснабрик,Оснабрюк;52.27264;8.0498;166462;DE
743439;Бени-Меллаль;32.33725;-6.34984;166399;MA
743882;Камакура;35.30889;139.55028;166016;JP
744168;Холон;32.01034;34.77918;165787;IL
744537;Шаньвэй;22.78199;115.3475;165699;CN
744873;Форт-Лодердейл;26.12231;-80.14338;165521;US
745026;Тулуа;4.08466;-76.19536;165501;CO
745028;Бушер,Бушир,Б?ше?р,Б?ши?р;28.9684;50.8385;165377;IR
745527;Сага Япония;33.24932;130.2988;165236;JP
745530;Музаффаргар;30.07537;71.19213;165192;PK
746232;Сегед;46.253;20.14824;164883;HU
