geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
567695;Chukhloma;Chukhloma;CHUKHLOMA,Chukhloma,Tsjukhloma,ЧУХЛОМА,Чухлома;58.75375;42.68318;P;PPL;RU;;37;;;;5430;;186;Europe/Moscow;17.01.2012
1493523;Rostovka;Rostovka;Rostovka,Ростовка;55.3842;71.88913;P;PPL;RU;;54;;;;5423;;119;Asia/Omsk;17.01.2012
2012938;Yerofey Pavlovich;Yerofey Pavlovich;Erofei Pavlovich,Erofej Pavlovich,Erofey-Palvovich,Jerofej Pavlovitsj,Yerofei Pavlovich,Yerofey Pavlovich,Ерофей Павлович;53.96667;121.96667;P;PPL;RU;;5;;;;5409;;532;Asia/Yakutsk;17.01.2012
1496130;Onguday;Onguday;Ongudaj,Onguday,Онгудай;50.75;86.15;P;PPL;RU;;3;;;;5406;;839;Asia/Omsk;17.01.2012
482230;Tonkino;Tonkino;TONKINO,Tonkino,ТОНКИНО,Тонкино;57.37257;46.46294;P;PPL;RU;;51;;;;5406;;120;Europe/Moscow;17.01.2012
498501;Sars;Sars;Sars,Сарс;56.55017;57.13658;P;PPL;RU;;90;;;;5404;;311;Asia/Yekaterinburg;17.01.2012
824366;Krasnoarmeyskoye;Krasnoarmeyskoye;Krasnoarmeyskoye,Красноармейское;52.71815;50.03219;P;PPL;RU;;65;;;;5403;;58;Europe/Samara;10.08.2010
478269;Usol’ye;Usol'ye;Usol'e,Usol'ye,Usolje,Usol’ye,Усолье;59.4219;56.6862;P;PPL;RU;;90;;;;5400;;103;Asia/Yekaterinburg;05.04.2012
578637;Bavtugay;Bavtugay;Bartugay,Bavtugaj,Bavtugay,Бавтугай;43.16808;46.83415;P;PPL;RU;;17;Buynakskiy Rayon;;;5398;;52;Europe/Moscow;28.02.2012
540740;Krotovka;Krotovka;Krotovka,Krowtowka,Кротовка;53.2858;51.1686;P;PPL;RU;;65;;;;5398;;41;Europe/Samara;17.01.2012
2021116;Kutulik;Kutulik;KUTULIK,Kutulik,Kutulyk,КУТУЛИК,Кутулик;53.35083;102.78389;P;PPL;RU;;20;;;;5390;;515;Asia/Irkutsk;17.01.2012
2026544;Bokhan;Bokhan;BOKHAN,Bokhan,БОХАН,Бохан;53.153;103.7714;P;PPL;RU;;20;;;;5387;;443;Asia/Irkutsk;17.01.2012
568790;Chernolesskoye;Chernolesskoye;Chernolesskoe,Chernolesskoye,Tsjernolesskoje,Чернолесское;44.71556;43.71333;P;PPL;RU;;70;;;;5386;;129;Europe/Moscow;17.01.2012
558385;Martan-Chu;Martan-Chu;Grusevoe,Grushevoe,Grushevoye,Gruevoe,Martan-Chu,Martan-Tsju,Martancu,Martanu,Грушевое,Мартан-Чу;43.06366;45.56217;P;PPL;RU;;12;;;;5385;;324;Europe/Moscow;17.01.2012
2025917;Bureya;Bureya;BUREJA,Bureia,Bureja,Bureya,БУРЕЯ,Бурея;49.8133;129.8131;P;PPL;RU;;5;;;;5383;;135;Asia/Yakutsk;17.01.2012
1492607;Severnoye;Severnoye;Severnoe,Severnoje,Severnoye,Северное;56.34912;78.36189;P;PPL;RU;;53;;;;5373;;121;Asia/Novosibirsk;17.01.2012
552500;Karpalinskaya;Karpalinskaya;Kargalinskaja,Kargalinskaya,Kargalinski,Karginskaja,Karginskaya,Karpalinskaja,Karpalinskaya,Каргалинская,Каргалински,Каргинская,Карпалинская;43.74381;46.47821;P;PPL;RU;;12;;;;5371;;1;Europe/Moscow;04.08.2012
489997;Kashkhatau;Kashkhatau;KASHKHATAU,Kashkatau,Kashkhatau,Kasjkhatau,Sovetskoye,КАШХАТАУ,Кашхатау;43.31848;43.60804;P;PPL;RU;;22;;;;5367;;696;Europe/Moscow;17.01.2012
518907;Novodzhereliyevskaya;Novodzhereliyevskaya;Novaya Dzhereliyevskaya,Novodzherelievskaja,Novodzherelievskaya,Novodzhereliyevskaya,Novodzjerelijevskaja,Novozhareliyevskaya,Новоджерелиевская;45.77373;38.67227;P;PPL;RU;;38;;;;5365;;11;Europe/Moscow;17.01.2012
1484923;Zykovo;Zykovo;Zykovo,Зыково;55.9533;93.1507;P;PPL;RU;;91;;;;5365;;199;Asia/Krasnoyarsk;04.08.2012
547677;Kletskaya;Kletskaya;KLETSKIJ,Kletskaja,Kletskaya,Kletskiy,Klyetskaya,КЛЕТСКИЙ,Клетская;49.31455;43.05844;P;PPL;RU;;84;;;;5362;;54;Europe/Volgograd;17.01.2012
560674;Golovchino;Golovchino;Golovchino,Golovtsjino,Spasskaya,Головчино;50.5341;35.797;P;PPL;RU;;9;;;;5356;;140;Europe/Moscow;17.01.2012
466538;Yumaguzino;Yumaguzino;Jumaguzino,Yumaguzino,Юмагузино;52.90412;56.39329;P;PPL;RU;;8;;;;5353;;209;Asia/Yekaterinburg;17.01.2012
1494949;Pionerskiy;Pionerskiy;PIONERSKIJ,Pionerskij,Pionerskiy,ПИОНЕРСКИЙ,Пионерский;61.19472;62.86889;P;PPL;RU;;32;;;;5348;;97;Asia/Yekaterinburg;17.01.2012
510842;Pervomayskoye;Pervomayskoye;Pervomajskoe,Pervomayskiy,Pervomayskoye,Первомайское;43.93847;42.476;P;PPL;RU;;27;;;;5345;;984;Europe/Moscow;17.01.2012
578467;Bazarnyye Mataki;Bazarnyye Mataki;Bazarnye Mataki,Bazarnye-Mataki,Bazarnyye Mataki,Bazarnyye Matani,Базарные Матаки,Базарные-Матаки;54.88333;49.93333;P;PPL;RU;;73;Al’keyevskiy Rayon;;;5339;;130;Europe/Moscow;17.01.2012
485304;Syava;Syava;SJAVA,Siava,Sjava,Syava,СЯВА,Сява;58.01457;46.32216;P;PPL;RU;;51;;;;5339;;107;Europe/Moscow;17.01.2012
1510131;Beya;Beya;Beja,Beya,Бея;53.05333;90.91389;P;PPL;RU;;31;;;;5338;;442;Asia/Krasnoyarsk;17.01.2012
517303;Novozavedennoye;Novozavedennoye;Kasayevo,Novozavedennoe,Novozavedennoje,Novozavedennoye,Novozavedenskoye,Новозаведенное;44.26278;43.63806;P;PPL;RU;;70;;;;5336;;222;Europe/Moscow;17.01.2012
508390;Podgornaya;Podgornaya;Podgornaja,Podgornaya,Подгорная;44.20306;43.42972;P;PPL;RU;;70;;;;5336;;244;Europe/Moscow;17.01.2012
2021031;Kyren;Kyren;KYREN,Koren,Kyren,КЫРЕН,Кырен;51.6828;102.1408;P;PPL;RU;;11;;;;5334;;751;Asia/Irkutsk;17.01.2012
509850;Petrovskoye;Petrovskoye;Petrovsk,Petrovskoe,Petrovskoje,Petrovskoye,Петровское;57.01039;39.26928;P;PPL;RU;;88;;;;5324;;135;Europe/Moscow;17.01.2012
536035;Leninskoye;Leninskoye;LENINSKOE,Leninskiy,Leninskoe,Leninskoje,Leninskoye,ЛЕНИНСКОЕ,Ленинское;58.31637;47.08856;P;PPL;RU;;33;;;;5323;;162;Europe/Volgograd;17.01.2012
