geonameid;name;latitude;longitude;fclass;acode;population
510291;Петергоф;59.88333;29.сен;P;66;64800
483029;Тихорецк;45.85472;40.12528;P;38;64387
501215;Россоши,Россошь;51.1209;38.5116;P;86;64323
480716;ТУАПСЕ,Туапсе;44.1053;39.0802;P;38;64234
583350;Александров;56.39516;38.71216;P;83;64088
536068;Ленинский Район;53.20055;50.12452;A;65;63834
464625;ЗАРЕЧНЫЙ,Заречный;53.20356;45.19227;P;57;63579
827329;ПАВЛОВО,Павлово;55.9686;43.0912;P;51;63338
579514;БАЛАХНА,Балахна;56.48989;43.60114;P;51;63083
557775;Гусь-Хрустальный;55.61113;40.65186;P;83;62746
582978;АЛЕКСАНДРОВ,Александров;56.4;38.71667;P;83;62713
570479;БУЙНАКСК,Буйнакск,Буйнахъск;42.819;47.1192;P;17;62689
1502061;Краснотурьинск;59.7666;60.2086;P;71;62600
578120;БЕЛЕБЕЙ,Белебей;54.11667;54.11667;P;8;62582
499717;РЖЕВ,Ржев,Ржэў;56.26241;34.32817;P;77;62246
567990;Чистополь;55.36311;50.64244;P;73;62200
831165;Заречный;53.13333;46.58333;P;57;62139
483019;ТИХВИН,Тихвин;59.64511;33.52937;P;42;62075
501231;Россошь;50.19828;39.56726;P;86;62000
510225;ПЕТРОДВОРЕЦ,Петродворец;59.87966;29.90257;P;66;61973
537281;ЛАБИНСК,Лабинск;44.63417;40.73556;P;38;61945
1505429;ИСКИТИМ,Искитим;54.6366;83.3045;P;53;61827
502011;РЕВДА,Ревда;56.80097;59.93028;P;71;61785
534595;ЛОБНЯ,Лобня;56.00972;37.48194;P;47;61772
470444;ВЫКСА,Выкса;55.3175;42.17444;P;51;61664
565955;ДМИТРОВ,Дмитров;56.35;37.51667;P;47;61607
493160;СИБАЙ,Сибай;52.71806;58.66583;P;8;61590
581357;АПАТИТЫ,Апатиты;67.56414;33.4031;P;49;61186
1497173;НОВОАЛТАЙСК,Новоалтайск;53.3917;83.9363;P;4;61050
2015833;СВОБОДНЫЙ;51.38167;128.12222;P;5;61017
499161;Сальск;46.4747;41.54114;P;61;61000
486968;СТУПИНО,Ступино;54.90083;38.07083;P;47;60999
504935;Прохладный;43.75741;44.0297;P;22;60800
